/Users/luna/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2026-02-22 12:36:55,741 - INFO -   Fetching from 1476-4687 (2026-01-23 to 2026-02-21)
2026-02-22 12:36:57,990 - INFO -     Found 394 papers
2026-02-22 12:36:57,990 - INFO -   Fetching from 1095-9203 (2026-01-23 to 2026-02-21)
2026-02-22 12:36:58,897 - INFO -     Found 175 papers
2026-02-22 12:36:58,898 - INFO -   Fetching from 1091-6490 (2026-01-23 to 2026-02-21)
2026-02-22 12:37:00,856 - INFO -     Found 402 papers
2026-02-22 12:37:00,856 - INFO -   Fetching from 1944-8007 (2026-01-23 to 2026-02-21)
2026-02-22 12:37:02,952 - INFO -     Found 230 papers
2026-02-22 12:37:02,953 - INFO -   Fetching from 1520-0477 (2026-01-23 to 2026-02-21)
2026-02-22 12:37:03,247 - INFO -     Found 22 papers
2026-02-22 12:37:03,247 - INFO -   Fetching from 1758-6798 (2026-01-23 to 2026-02-21)
2026-02-22 12:37:03,389 - INFO -     Found 22 papers
2026-02-22 12:37:03,389 - INFO -   Fetching from 1752-0908 (2026-01-23 to 2026-02-21)
2026-02-22 12:37:03,580 - INFO -     Found 18 papers
2026-02-22 12:37:03,581 - INFO -   Fetching from 2731-6084 (2026-01-23 to 2026-02-21)
2026-02-22 12:37:03,733 - INFO -     Found 18 papers
2026-02-22 12:37:03,733 - INFO -   Fetching from 1944-9208 (2026-01-23 to 2026-02-21)
2026-02-22 12:37:04,073 - INFO -     Found 2 papers
2026-02-22 12:37:04,073 - INFO -   Fetching from 2041-1723 (2026-01-23 to 2026-02-21)
2026-02-22 12:37:10,898 - INFO -     Found 1142 papers
2026-02-22 12:37:10,900 - INFO -   Fetching from 2662-138X (2026-01-23 to 2026-02-21)
2026-02-22 12:37:11,040 - INFO -     Found 6 papers
