/Users/luna/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2026-02-22 12:40:40,453 - INFO -   Fetching from 1476-4687 (2026-01-13 to 2026-01-13)
2026-02-22 12:40:40,999 - INFO -     Found 11 papers
2026-02-22 12:40:40,999 - INFO -   Fetching from 1095-9203 (2026-01-13 to 2026-01-13)
2026-02-22 12:40:41,129 - INFO -     Found 0 papers
2026-02-22 12:40:41,129 - INFO -   Fetching from 1091-6490 (2026-01-13 to 2026-01-13)
2026-02-22 12:40:41,277 - INFO -     Found 10 papers
2026-02-22 12:40:41,277 - INFO -   Fetching from 1944-8007 (2026-01-13 to 2026-01-13)
2026-02-22 12:40:41,441 - INFO -     Found 7 papers
2026-02-22 12:40:41,441 - INFO -   Fetching from 1520-0477 (2026-01-13 to 2026-01-13)
2026-02-22 12:40:41,698 - INFO -     Found 1 papers
2026-02-22 12:40:41,698 - INFO -   Fetching from 1758-6798 (2026-01-13 to 2026-01-13)
2026-02-22 12:40:41,995 - INFO -     Found 0 papers
2026-02-22 12:40:41,995 - INFO -   Fetching from 1752-0908 (2026-01-13 to 2026-01-13)
2026-02-22 12:40:42,329 - INFO -     Found 2 papers
2026-02-22 12:40:42,329 - INFO -   Fetching from 2731-6084 (2026-01-13 to 2026-01-13)
2026-02-22 12:40:42,700 - INFO -     Found 0 papers
2026-02-22 12:40:42,700 - INFO -   Fetching from 1944-9208 (2026-01-13 to 2026-01-13)
2026-02-22 12:40:42,958 - INFO -     Found 0 papers
2026-02-22 12:40:42,958 - INFO -   Fetching from 2041-1723 (2026-01-13 to 2026-01-13)
2026-02-22 12:40:43,238 - INFO -     Found 49 papers
2026-02-22 12:40:43,238 - INFO -   Fetching from 2662-138X (2026-01-13 to 2026-01-13)
2026-02-22 12:40:43,511 - INFO -     Found 1 papers
2026-02-22 12:40:43,511 - INFO -   Fetching from 1944-7973 (2026-01-13 to 2026-01-13)
2026-02-22 12:40:43,676 - INFO -     Found 0 papers
2026-02-22 12:40:43,676 - INFO -   Fetching from 1879-2707 (2026-01-13 to 2026-01-13)
2026-02-22 12:40:43,893 - INFO -     Found 0 papers
